"Time","Perspiration","Speed","Acceleration","Braking","Steering","Phase","Activity","Failure","Distance","ppNormalized","ppLogNormalized","Subject","Speed_u","Speed_std","Acc_u","Acc_std","Steering_u","Steering_std","ppNext"
1,0.00489791156616924,0,2.08076199828571,45.9202221714286,356.8946239,0,0,0,-1.42188913628571,0.00154001737359478,0.377494844814974,"01",6.3048078422123,2.60090016461915,6.24015235311706,5.81289460260192,520.429245539087,101.17326850048,0.422890912850899
2,0.00493307968166781,5.5710375e-05,2.08556224825,46.0170265925,356.770971,0,0,0,-1.42184298025,0.00157518548909335,0.384649416294399,"01",5.1587148531737,3.45162496656656,5.48475491270617,5.4641005257363,490.685679667045,112.107044294433,0.428087824220925
3,0.00498704864328273,0.002592805,2.09017086342857,45.2181934714286,356.784642585714,0,0,0,-1.42188791828571,0.00162915445070827,0.395530221706461,"01",5.67432705799107,3.16039721598105,5.82421331763393,5.63607846920323,504.075783375179,108.503690310892,0.425917317386628
4,0.00504107504438762,0.16270384075,2.10148441525,13.336669859875,343.691230425,0,0,0,-1.404221583,0.00168318085181316,0.406305302753558,"01",4.72882659127381,3.61224264559498,5.20148885733482,5.3014198820702,479.526120611458,113.665623611914,0.431429240215273
5,0.00507889411031083,0.796201787,8.55450011171428,0,222.930644028571,0,0,0,-1.20201319985714,0.00172099991773637,0.413779483881172,"01",4.37758637969505,3.68303472344329,4.96302697717445,5.14802854724734,469.077282904808,115.163078057251,0.433522901670416
6,0.00506207131435947,2.14708685775,18.05363618875,0,-3.561869525875,0,0,0,-0.618812684875,0.00170417712178501,0.410461691078051,"01",4.12177319450255,3.66571524650327,5.21956077249872,5.03834313517843,451.495380127934,128.724767842072,0.435317757833075
7,0.0050081865855144,4.76257747528571,21.9720339842857,0,-81.4121047157143,0,0,0,0.832004276857143,0.00165029239293994,0.399759831683072,"01",4.55396261112185,3.70848791141988,6.33507725825315,6.02919117093907,416.928881947533,160.49051488238,0.430226091524254
8,0.00494434592397785,7.859590461125,21.33227854875,0,-92.85728928625,0,0,0,3.634160680875,0.00158645173140339,0.386930627496072,"01",4.88557079116917,3.76469023086224,6.93674115869267,6.81884509389982,379.324787154484,194.40891275379,0.429189333861591
9,0.00487721629330113,10.4184285782857,23.5279247942857,0,-58.7037254471429,0,0,0,7.74624983014286,0.00151932210072667,0.373260567031022,"01",5.83898249842779,4.09921331123887,7.47876377117003,7.21476772990337,327.759059506726,216.912171123247,0.426512999157401
10,0.00480846141873788,12.8239236825,25.3642395175,0,-12.840608782875,0,0,0,12.98792271,0.00145056722616342,0.359063103501436,"01",6.85237890389094,4.39743292783564,7.48987559874043,7.43167297776508,271.354654788149,232.687641196653,0.335975404822922
11,0.00473890870456809,15.4437053242857,25.6129701128571,0,-1.80543827985714,0,0,0,19.3597200285714,0.00138101451199363,0.344492820318978,"01",7.43675797254112,4.70883367177464,7.34974396684362,7.78022770783762,229.227729685449,236.54230478033,0.32675369422843
12,0.00466896955923635,17.65838790625,24.34011720375,0,-3.617994646875,0,0,0,26.872006765,0.00131107536666189,0.329624338745763,"01",4.170810071492,5.60147905488454,5.1914548428217,7.52089116272306,62.1565319798347,154.562305386464,0.338783662034577
13,0.0045989845280425,19.4161351757143,23.3462311285714,0,1.071045084,0,0,0,35.2507990071429,0.00124109033546804,0.314521467216805,"01",4.9690750473487,6.83162431600359,5.3308361933263,8.471520179579,-10.0049115150451,27.2049948123778,0.333407067549663
14,0.00452930114571612,20.70806009,21.0718517275,0,1.497651708125,0,0,0,44.344563565,0.00117140695314166,0.299253598324451,"01",5.21761937498214,7.81470596104705,5.49851697020089,8.86778671441047,-12.1919963577136,19.5449340538109,0.322501585255504
15,0.00446038148321836,21.7136729371429,23.2092727457143,0,2.54418263714286,0,0,0,53.9136202385714,0.0011024872906439,0.283920240268733,"01",18.4019539740458,4.31654854529048,13.8860922150234,11.9363759987035,-15.9198905868627,23.0804115458273,0.311598590792116
16,0.00439323198103404,23.01332323875,25.74093832,0,2.99903717675,0,0,0,64.00499379875,0.00103533778845958,0.26875111445618,"01",20.9312126394048,2.85822243164804,15.6221248951622,11.6667727065835,-0.07835414558631,5.31495490701303,0.325415882888167
17,0.00433026109298938,24.4397232071429,21.03880608,0,2.99589494042857,0,0,0,74.7305914085714,0.000972366900414919,0.254313783022788,"01",22.9889255588889,1.65159048961363,14.3704107729306,11.2659389760095,3.81602031755952,1.65331318260833,0.311704222805965
18,0.00428357301008775,25.12912469625,23.16013435,0,2.135155533875,0,0,0,85.94871227125,0.000925678817513288,0.243473421236282,"01",24.1440667545635,1.40882432002815,13.7108922400536,10.4147923584526,4.39293188265476,1.0816897525478,0.299878120579683
19,0.00428570608303774,26.0696216285714,24.8710720085714,0,1.49700190728571,0,0,0,97.48827982,0.000927811890463279,0.243971263101644,"01",25.0410403654564,1.23753817196174,13.5280781888512,8.89293715125304,4.15538855495238,1.34709027457434,0.291738534914181
20,0.00431731907407059,27.28179445,23.54633000875,0,1.4971136065,0.125,0.375,0,109.5371985625,0.000959424881496129,0.251320569191382,"01",25.7599648263036,1.06537102316079,14.4324262442143,7.44316073587691,3.88747941509643,1.82174384570091,0.293892141932099
21,0.00433795326664913,28.22557601,18.7383742742857,0,2.54418263714286,1,3,0,122.090493085714,0.000980059074074669,0.256088583502395,"01",26.5014273003373,0.851689016877184,14.7162513458234,6.5124619256449,3.66324242338294,2.13588114665328,0.290748466236222
22,0.00434860566681783,28.72426459875,16.61008906375,0,2.99903717675,1,3,0,134.9669000625,0.000990711474243369,0.258541201471107,"01",27.013164412996,0.890114967011988,14.0968763889782,5.39955567922796,3.7801241615,2.02832169074014,0.28982077747074
23,0.00434648482687873,28.9939603971429,15.4213615871429,0,3.00270178242857,1,3,0,148.0084139,0.000988590634304269,0.25805337677649,"01",27.4302461531746,0.959309676729615,13.2500269004841,4.13044203938102,4.02786949417262,1.76660106364865,0.298654501978077
24,0.00431250709780063,29.19050807875,16.1860353975,0,1.98622640525,1,3,0,161.148297275,0.000954612905226168,0.250205372532419,"01",27.7564039235317,0.965233704231114,12.9660683238155,3.48522082381234,4.24514890271825,1.50240266139276,0.301131174188989
25,0.0042564388435883,29.41003872,17.3917508028571,0,1.49985174214286,1,3,0,174.387276557143,0.000898544651013839,0.237118803083998,"01",28.0959341301389,0.899744789395529,12.2946456785933,4.69764140312826,4.08691134180754,1.686502843113,0.300310844700408
26,0.00419680746724661,29.6511260375,16.7224957325,0,1.4990370255,1,3,0,187.7245301625,0.000838913274672148,0.223010054349135,"01",28.675989258125,0.675896795686671,12.0227672348705,6.18045979602174,3.47185794745089,1.60772695874705,0.297719219205268
27,0.00414706426743961,29.8690186542857,16.3192860114286,0,1.49795502671429,1,3,0,201.168771885714,0.000789170074865149,0.211086623711639,"01",29.096313219933,0.710214978631401,12.1121130760268,6.11388500352322,3.01444990052902,1.75593463839475,0.294830486030948
28,0.00413194258430448,30.04265210375,15.95206565,0,2.086069244625,1,3,0,214.69919255,0.000774048391730019,0.207433601107201,"01",29.4109478899603,0.877895591959759,13.0999786868214,6.04220415646703,2.81126366353175,1.93500799596587,0.27049672681008
