"Time","Perspiration","Speed","Acceleration","Braking","Steering","Phase","Activity","Failure","Distance","ppNormalized","ppLogNormalized","Subject","Speed_u","Speed_std","Acc_u","Acc_std","Brake_u","Brake_std","Steering_u","Steering_std","ppNext"
1,0.00388412081534192,0,1.924908727,0,38.9884883228571,0,0,0,-0.0111959774285714,0.000526226622767459,0.145582602719045,"01",5.43248144243691,2.96647059450967,7.65218804668363,6.19396677140625,1.49763492932113,3.60731711751492,471.496517915208,211.602142016591,0.301162569141599
2,0.00387070530018653,0,1.92738191825,0,38.974962665,0,0,0,-0.011195614125,0.000512811107612069,0.142122685502936,"01",4.34598515394952,3.46026296237323,6.50474689966119,5.98220699514621,1.19821670294262,3.25707124007608,384.993173458071,259.326028639027,0.3119957371686
3,0.0039113326156932,0,1.92267784271429,0,38.9754492828571,0,0,0,-0.0111957538571429,0.000553438423118739,0.152564085046282,"01",5.01459825455714,3.2150834311123,7.21162809901566,6.13932669046078,1.38243224245027,3.47863099824235,438.226669485027,235.443526604327,0.304957202468978
4,0.00397000212265021,0,1.902628316875,0,38.974962665,0,0,0,-0.011195614125,0.000612107930075748,0.167452575681572,"01",4.34598515394952,3.46026296237323,6.50474689966119,5.98220699514621,1.19821670294262,3.25707124007608,384.993173458071,259.326028639027,0.3119957371686
5,0.00403159274789446,0,1.897360365,0.00163139228571429,38.9754492828571,0,0,0,-0.0111957538571429,0.000673698555319999,0.182847466606436,"01",5.01459825455714,3.2150834311123,7.21162809901566,6.13932669046078,1.38243224245027,3.47863099824235,438.226669485027,235.443526604327,0.304957202468978
6,0.00409406728583508,0,1.912140757875,11.31275898325,38.974962665,0,0,0,-0.011209602875,0.000736173093260619,0.198224867881589,"01",6.51897773092429,1.69872418058,8.80256856199,6.16995108140742,0.665886016860357,2.04511536050998,558.055139558893,69.110447218607,0.295508749150101
7,0.00415663824254301,0,1.84142178214286,43.1292423285714,38.9754492828571,0,0,0,-0.00700825414285714,0.000798744049968548,0.213392577978112,"01",3.62383878550556,3.55265842040853,5.73482141127222,5.7105244389172,2.43778350607917,6.57199875641494,327.179189736726,270.329368666592,0.322666588740803
8,0.00421857907101285,1.5542625e-05,1.775621534625,44.01307596375,38.98309638625,0,0,0,-0.002298219625,0.000860684878438389,0.228184303143009,"01",3.43311042837368,3.5512480608228,5.52990564131804,5.62105299020449,4.57943923357876,11.3110014670539,312.010571818101,270.905394738589,0.325788703334023
9,0.00427838391881693,0.0393208298571429,1.82557167285714,25.9068525652857,36.37788806,0,0,0,-0.00779993257142857,0.000920489726242469,0.242261293721969,"01",3.83469278289664,3.54399944070661,5.96477727823781,5.79973237969284,1.05725003200819,3.07258860913835,344.285148658886,268.419636065045,0.320493472659213
10,0.00432510027426362,0.700750413125,4.726830633625,0.049822703625,-56.693386033375,0,0,0,0.132417758375,0.000967206081689158,0.253121269157883,"01",3.26145568408625,3.5407504681827,5.34219143598339,5.53516118546479,6.55112107008732,14.1051664589466,298.359198046509,270.655344478052,0.3286594209867
