Time,Perspiration,Drive,Speed,Acceleration,Braking,Steering,Lane Deviation,Distance,Activity,Failure,Phase,New Steering
0.133333333,0.004126491,1,0,0,51.92774689,17.05538909,-1.350134451,-26.31107259,0,0,0,17.05538909
0.266666667,0.004094633,1,0,0,61.60255294,20.26529389,-1.245706133,-26.31107259,0,0,0,20.26529389
0.4,0.004062727,1,0,0,57.96549895,19.08785383,-1.284011968,-26.31107259,0,0,0,19.08785383
0.533333333,0.004031184,1,0,0,59.96718978,19.74382575,-1.262671135,-26.31107259,0,0,0,19.74382575
0.666666667,0.004000403,1,0,0,58.64334846,19.33032618,-1.276123579,-26.31107259,0,0,0,19.33032618
0.8,0.003970747,1,0,0,59.4118737,19.6005587,-1.267332064,-26.31107259,0,0,0,19.6005587
0.933333333,0.003942524,1,0,0,58.88212204,19.42825112,-1.272937772,-26.31107259,0,0,0,19.42825112
1.066666667,0.003915977,1,0,0,59.18275719,19.52964918,-1.269638974,-26.31107259,0,0,0,19.52964918
1.2,0.003891283,1,0,0,59.00535067,19.47646945,-1.271369078,-26.31107259,0,0,0,19.47646945
1.333333333,0.003868558,1,3.56E-05,0,59.07773407,19.50230264,-1.270528643,-26.31107259,0,0,0,19.50230264
1.466666667,0.003847867,1,0,0,59.02271215,19.48850323,-1.270977581,-26.31107259,0,0,0,19.48850323
1.6,0.003829227,1,0.000115302,0,59.04278319,19.48850323,-1.270977581,-26.31107259,0,0,0,19.48850323
1.733333333,0.00381261,1,0,0,59.00425739,19.48577817,-1.271066236,-26.30739354,0,0,0,19.48577817
1.866666667,0.003797944,1,0.000291695,0,59.06780127,19.48850323,-1.270977581,-26.31107259,0,0,0,19.48850323
2,0.003785106,1,0,0,58.96705646,19.48850323,-1.270977581,-26.31107259,0,0,0,19.48850323
2.133333333,0.003773924,1,0.000748479,0,59.03036967,19.48577817,-1.271066236,-26.30739354,0,0,0,19.48577817
2.266666667,0.003764173,1,0,0,58.81104453,19.48850323,-1.270977581,-26.31107259,0,0,0,19.48850323
2.4,0.003755575,1,0.007525847,0,60.16254264,19.48850323,-1.270977581,-26.31107259,0,0,0,19.48850323
2.533333333,0.003747818,1,0.010900669,0,62.27088469,19.48577817,-1.271066236,-26.30739354,0,0,0,19.48577817
2.666666667,0.003740563,1,0,0,64.4586309,19.48850323,-1.270977581,-26.31107259,0,0,0,19.48850323
2.8,0.003733479,1,0.000627839,0,67.1747663,19.48850323,-1.270977581,-26.31107259,0,0,0,19.48850323
